"","Date","flow","pipe"
"138",2020-05-04,131.3,"swqp"
"139",2020-05-05,84.4,"swqp"
"140",2020-05-06,152.8,"swqp"
"141",2020-05-07,102.6,"swqp"
"142",2020-05-08,129.8,"swqp"
"143",2020-05-09,156.9,"swqp"
"144",2020-05-10,163.1,"swqp"
"145",2020-05-11,293.9,"swqp"
"146",2020-05-12,248.2,"swqp"
"147",2020-05-13,217.3,"swqp"
"148",2020-05-14,247.8,"swqp"
"149",2020-05-15,262.1,"swqp"
"150",2020-05-16,224.5,"swqp"
"151",2020-05-17,178.8,"swqp"
"152",2020-05-18,288.5,"swqp"
"153",2020-05-19,239,"swqp"
"154",2020-05-20,213.8,"swqp"
"155",2020-05-21,166.6,"swqp"
"156",2020-05-22,234.6,"swqp"
"157",2020-05-23,282.2,"swqp"
"158",2020-05-24,214.9,"swqp"
"159",2020-05-25,262.7,"swqp"
"160",2020-05-26,269.1,"swqp"
"161",2020-05-27,272.9,"swqp"
"162",2020-05-28,258.8,"swqp"
"163",2020-05-29,263.1,"swqp"
"164",2020-05-30,254.3,"swqp"
"165",2020-05-31,257.7,"swqp"
"166",2020-06-01,246.7,"swqp"
"167",2020-06-02,255.5,"swqp"
"168",2020-06-03,230.9,"swqp"
"169",2020-06-04,246.3,"swqp"
"170",2020-06-05,297.3,"swqp"
"171",2020-06-06,372.9,"swqp"
"172",2020-06-07,313.1,"swqp"
"173",2020-06-08,311.6,"swqp"
"174",2020-06-09,320.4,"swqp"
"175",2020-06-10,352.4,"swqp"
"176",2020-06-11,360.7,"swqp"
"177",2020-06-12,344.2,"swqp"
"178",2020-06-13,279,"swqp"
"179",2020-06-14,306.1,"swqp"
"180",2020-06-15,353.4,"swqp"
"181",2020-06-16,300.8,"swqp"
"182",2020-06-17,342.6,"swqp"
"183",2020-06-18,357.9,"swqp"
"184",2020-06-19,373.8,"swqp"
"185",2020-06-20,328.7,"swqp"
"186",2020-06-21,335.8,"swqp"
"187",2020-06-22,368.2,"swqp"
"188",2020-06-23,373.6,"swqp"
"189",2020-06-24,388.5,"swqp"
"190",2020-06-25,323,"swqp"
"191",2020-06-26,360.8,"swqp"
"192",2020-06-27,390.4,"swqp"
"193",2020-06-28,381.1,"swqp"
"194",2020-06-29,364.9,"swqp"
"195",2020-06-30,315.1,"swqp"
"196",2020-07-01,277.9,"swqp"
