"","Date","flow","pipe"
"134",2020-04-30,1605.2,"aplng"
"135",2020-05-01,1604.1,"aplng"
"136",2020-05-02,1568.8,"aplng"
"137",2020-05-03,1513.8,"aplng"
"138",2020-05-04,1482,"aplng"
"139",2020-05-05,1432,"aplng"
"140",2020-05-06,1104.6,"aplng"
"141",2020-05-07,1026.8,"aplng"
"142",2020-05-08,998.4,"aplng"
"143",2020-05-09,997.9,"aplng"
"144",2020-05-10,1000.3,"aplng"
"145",2020-05-11,972.8,"aplng"
"146",2020-05-12,999.4,"aplng"
"147",2020-05-13,1001.3,"aplng"
"148",2020-05-14,998.2,"aplng"
"149",2020-05-15,997.1,"aplng"
"150",2020-05-16,1002.3,"aplng"
"151",2020-05-17,1000,"aplng"
"152",2020-05-18,998.4,"aplng"
"153",2020-05-19,1247.3,"aplng"
"154",2020-05-20,1240.8,"aplng"
"155",2020-05-21,1252.7,"aplng"
"156",2020-05-22,1109.6,"aplng"
"157",2020-05-23,839.8,"aplng"
"158",2020-05-24,863.4,"aplng"
"159",2020-05-25,850.8,"aplng"
"160",2020-05-26,943.6,"aplng"
"161",2020-05-27,1057.6,"aplng"
"162",2020-05-28,994.9,"aplng"
"163",2020-05-29,994.9,"aplng"
"164",2020-05-30,1009,"aplng"
"165",2020-05-31,1015.9,"aplng"
"166",2020-06-01,1011.3,"aplng"
"167",2020-06-02,1011,"aplng"
"168",2020-06-03,1024.3,"aplng"
"169",2020-06-04,1027.3,"aplng"
"170",2020-06-05,1028.3,"aplng"
"171",2020-06-06,1028.2,"aplng"
"172",2020-06-07,1027.9,"aplng"
"173",2020-06-08,1027.4,"aplng"
"174",2020-06-09,1027.7,"aplng"
"175",2020-06-10,1025.6,"aplng"
"176",2020-06-11,1025.5,"aplng"
"177",2020-06-12,1242.3,"aplng"
"178",2020-06-13,1249.9,"aplng"
"179",2020-06-14,1246.2,"aplng"
"180",2020-06-15,1191.5,"aplng"
"181",2020-06-16,1250.7,"aplng"
"182",2020-06-17,1251.8,"aplng"
"183",2020-06-18,1254.9,"aplng"
"184",2020-06-19,1253.3,"aplng"
"185",2020-06-20,1253.2,"aplng"
"186",2020-06-21,1251.1,"aplng"
"187",2020-06-22,1251.9,"aplng"
"188",2020-06-23,1270.7,"aplng"
"189",2020-06-24,1280.8,"aplng"
"190",2020-06-25,1254.7,"aplng"
"191",2020-06-26,1266.9,"aplng"
"192",2020-06-27,1265.7,"aplng"
"193",2020-06-28,1256.3,"aplng"
"194",2020-06-29,1268.8,"aplng"
"195",2020-06-30,1264.2,"aplng"
"196",2020-07-01,1237.1,"aplng"
"197",2020-07-02,1257.9,"aplng"
"198",2020-07-03,1266,"aplng"
"199",2020-07-04,1279.2,"aplng"
"200",2020-07-05,1269,"aplng"
"201",2020-07-06,1248,"aplng"
"202",2020-07-07,1399.4,"aplng"
"203",2020-07-08,1419.4,"aplng"
"204",2020-07-09,1420.5,"aplng"
"205",2020-07-10,1386.9,"aplng"
"206",2020-07-11,1399.7,"aplng"
"207",2020-07-12,1420,"aplng"
"208",2020-07-13,1398.7,"aplng"
"209",2020-07-14,1391.9,"aplng"
"210",2020-07-15,1408.8,"aplng"
"211",2020-07-16,1346.1,"aplng"
"212",2020-07-17,1388.1,"aplng"
"213",2020-07-18,1402,"aplng"
"214",2020-07-19,1341.5,"aplng"
"215",2020-07-20,1410.8,"aplng"
"216",2020-07-21,1419.9,"aplng"
"217",2020-07-22,1450,"aplng"
"218",2020-07-23,1442.3,"aplng"
"219",2020-07-24,1451.6,"aplng"
"220",2020-07-25,1452,"aplng"
"221",2020-07-26,1490.9,"aplng"
"222",2020-07-27,1495.1,"aplng"
"223",2020-07-28,1483.3,"aplng"
"224",2020-07-29,1487.9,"aplng"
"225",2020-07-30,1481.6,"aplng"
"226",2020-07-31,1463,"aplng"
"227",2020-08-01,1445.8,"aplng"
"228",2020-08-02,1469.9,"aplng"
"229",2020-08-03,1445.9,"aplng"
"230",2020-08-04,1256.8,"aplng"
"231",2020-08-05,1270.9,"aplng"
"232",2020-08-06,1253.1,"aplng"
"233",2020-08-07,1267.3,"aplng"
"234",2020-08-08,1259.8,"aplng"
"235",2020-08-09,1262.3,"aplng"
"236",2020-08-10,1259.4,"aplng"
"237",2020-08-11,1298.5,"aplng"
"238",2020-08-12,1315.1,"aplng"
"239",2020-08-13,1290.9,"aplng"
"240",2020-08-14,1277.5,"aplng"
"241",2020-08-15,1304.8,"aplng"
"242",2020-08-16,1391.6,"aplng"
"243",2020-08-17,1382,"aplng"
"244",2020-08-18,1380.5,"aplng"
"245",2020-08-19,1399.3,"aplng"
"246",2020-08-20,1347,"aplng"
"247",2020-08-21,1369.1,"aplng"
"248",2020-08-22,1367.1,"aplng"
"249",2020-08-23,1399.6,"aplng"
"250",2020-08-24,1402.3,"aplng"
"251",2020-08-25,1417.1,"aplng"
"252",2020-08-26,1162,"aplng"
"253",2020-08-27,1112.9,"aplng"
"254",2020-08-28,1123.2,"aplng"
"255",2020-08-29,1122.5,"aplng"
"256",2020-08-30,1124.6,"aplng"
"257",2020-08-31,1125.8,"aplng"
"258",2020-09-01,1120.8,"aplng"
"259",2020-09-02,1121.4,"aplng"
"260",2020-09-03,1123.3,"aplng"
"261",2020-09-04,1119,"aplng"
"262",2020-09-05,1122.7,"aplng"
"263",2020-09-06,1190.1,"aplng"
"264",2020-09-07,1219.9,"aplng"
"265",2020-09-08,1218.6,"aplng"
"266",2020-09-09,1215.3,"aplng"
"267",2020-09-10,1215.5,"aplng"
"268",2020-09-11,1219.2,"aplng"
"269",2020-09-12,1211.1,"aplng"
"270",2020-09-13,1167.2,"aplng"
"271",2020-09-14,1111,"aplng"
"272",2020-09-15,1278.6,"aplng"
"273",2020-09-16,1231.2,"aplng"
"274",2020-09-17,1234.5,"aplng"
"275",2020-09-18,1231.3,"aplng"
"276",2020-09-19,1231,"aplng"
"277",2020-09-20,1214.4,"aplng"
"278",2020-09-21,1228.4,"aplng"
"279",2020-09-22,1230.9,"aplng"
"280",2020-09-23,1242.5,"aplng"
"281",2020-09-24,1226.6,"aplng"
"282",2020-09-25,1202.2,"aplng"
"283",2020-09-26,1250.6,"aplng"
"284",2020-09-27,1250.2,"aplng"
"285",2020-09-28,1251,"aplng"
"286",2020-09-29,1250.7,"aplng"
"287",2020-09-30,1250.6,"aplng"
"288",2020-10-01,1250.6,"aplng"
"289",2020-10-02,1250.6,"aplng"
"290",2020-10-03,1251,"aplng"
"291",2020-10-04,1249.9,"aplng"
"292",2020-10-05,1250.8,"aplng"
"293",2020-10-06,1250.3,"aplng"
"294",2020-10-07,1251.7,"aplng"
"295",2020-10-08,1250.6,"aplng"
"296",2020-10-09,1300.9,"aplng"
"297",2020-10-10,1306.3,"aplng"
"298",2020-10-11,1301.2,"aplng"
"299",2020-10-12,1310.4,"aplng"
"300",2020-10-13,1315.4,"aplng"
"301",2020-10-14,1344.9,"aplng"
"302",2020-10-15,1350.3,"aplng"
"303",2020-10-16,1425.5,"aplng"
"304",2020-10-17,1503.6,"aplng"
"305",2020-10-18,1514.8,"aplng"
"306",2020-10-19,1508.3,"aplng"
"307",2020-10-20,1509.7,"aplng"
