"","Date","HeldInStorage","Levels","facility"
"586",2023-02-28,22457.119,86.4,"iona"
"587",2023-03-01,22580.181,86.8,"iona"
"588",2023-03-02,22713.002,87.4,"iona"
"589",2023-03-03,22826.408,87.8,"iona"
"590",2023-03-04,22919.178,88.2,"iona"
"591",2023-03-05,23012.18,88.5,"iona"
"592",2023-03-06,23090.967,88.8,"iona"
"593",2023-03-07,23162.962,89.1,"iona"
"594",2023-03-08,23222.53,89.3,"iona"
"595",2023-03-09,23285.265,89.6,"iona"
"596",2023-03-10,23352.254,89.8,"iona"
"597",2023-03-11,23461.521,90.2,"iona"
"598",2023-03-12,23537.801,90.5,"iona"
"599",2023-03-13,23616.687,90.8,"iona"
"600",2023-03-14,23687.649,91.1,"iona"
"601",2023-03-15,23710.081,91.2,"iona"
"602",2023-03-16,23748.737,91.3,"iona"
"603",2023-03-17,23818.058,91.6,"iona"
"604",2023-03-18,23914.378,92,"iona"
"605",2023-03-19,23999.424,92.3,"iona"
"606",2023-03-20,24094.223,92.7,"iona"
"607",2023-03-21,24169.117,93,"iona"
"608",2023-03-22,24246.191,93.3,"iona"
"609",2023-03-23,24342.551,93.6,"iona"
"610",2023-03-24,24422.678,93.9,"iona"
"611",2023-03-25,24520.408,94.3,"iona"
"612",2023-03-26,24603.429,94.6,"iona"
"613",2023-03-27,24586.486,94.6,"iona"
"614",2023-03-28,24525.939,94.3,"iona"
"615",2023-03-29,24539.42,94.4,"iona"
"616",2023-03-30,24452.251,94,"iona"
"617",2023-03-31,24433.628,94,"iona"
"618",2023-04-01,24483.95,94.2,"iona"
"619",2023-04-02,24546.821,94.4,"iona"
"620",2023-04-03,24603.881,94.6,"iona"
"621",2023-04-04,24686.837,94.9,"iona"
"622",2023-04-05,24757.845,95.2,"iona"
"623",2023-04-06,24841.025,95.5,"iona"
"624",2023-04-07,24929.568,95.9,"iona"
"625",2023-04-08,25033.304,96.3,"iona"
"626",2023-04-09,25120.167,96.6,"iona"
"627",2023-04-10,25150.533,96.7,"iona"
"628",2023-04-11,25176.091,96.8,"iona"
"629",2023-04-12,25175.359,96.8,"iona"
"630",2023-04-13,25171.674,96.8,"iona"
"631",2023-04-14,25194.9,96.9,"iona"
"632",2023-04-15,25183.84,96.9,"iona"
"633",2023-04-16,25082.204,96.5,"iona"
"634",2023-04-17,25030.334,96.3,"iona"
"635",2023-04-18,25081.174,96.5,"iona"
"636",2023-04-19,24987.987,96.1,"iona"
"637",2023-04-20,24944.526,95.9,"iona"
"638",2023-04-21,24896.671,95.8,"iona"
"639",2023-04-22,24883.211,95.7,"iona"
"640",2023-04-23,24911.955,95.8,"iona"
"641",2023-04-24,24960.975,96,"iona"
"642",2023-04-25,25042.304,96.3,"iona"
"643",2023-04-26,25076.732,96.4,"iona"
"644",2023-04-27,25055.06,96.4,"iona"
"645",2023-04-28,24981.991,96.1,"iona"
"646",2023-04-29,24914.697,95.8,"iona"
"647",2023-04-30,24744.251,95.2,"iona"
"648",2023-05-01,24543.766,94.4,"iona"
"649",2023-05-02,24502.647,94.2,"iona"
"650",2023-05-03,24499.16,94.2,"iona"
"651",2023-05-04,24502.388,94.2,"iona"
"652",2023-05-05,24432.908,94,"iona"
"653",2023-05-06,24275.059,93.4,"iona"
"654",2023-05-07,24088.759,92.6,"iona"
"655",2023-05-08,23845.996,91.7,"iona"
"656",2023-05-09,23635.289,90.9,"iona"
"657",2023-05-10,23471.5,90.3,"iona"
"658",2023-05-11,23410.887,90,"iona"
"659",2023-05-12,23431.083,90.1,"iona"
"660",2023-05-13,23575.735,90.7,"iona"
"661",2023-05-14,23720.894,91.2,"iona"
"662",2023-05-15,23846.838,91.7,"iona"
"663",2023-05-16,23826.395,91.6,"iona"
"664",2023-05-17,23744.716,91.3,"iona"
"665",2023-05-18,23618.467,90.8,"iona"
"666",2023-05-19,23522.672,90.5,"iona"
"667",2023-05-20,23538.392,90.5,"iona"
"668",2023-05-21,23485.211,90.3,"iona"
"669",2023-05-22,23336.127,89.8,"iona"
"670",2023-05-23,23167.606,89.1,"iona"
"671",2023-05-24,23090.687,88.8,"iona"
"672",2023-05-25,23039.863,88.6,"iona"
"673",2023-05-26,22962.009,88.3,"iona"
"674",2023-05-27,22990.193,88.4,"iona"
"675",2023-05-28,23016.125,88.5,"iona"
"676",2023-05-29,23042.538,88.6,"iona"
"677",2023-05-30,23156.185,89.1,"iona"
"678",2023-05-31,23258.079,89.5,"iona"
"679",2023-06-01,23387.44,90,"iona"
"680",2023-06-02,23431.82,90.1,"iona"
"681",2023-06-03,23528.343,90.5,"iona"
"682",2023-06-04,23629.363,90.9,"iona"
"683",2023-06-05,23745.642,91.3,"iona"
"684",2023-06-06,23883.101,91.9,"iona"
"685",2023-06-07,24000.629,92.3,"iona"
"686",2023-06-08,24128.249,92.8,"iona"
"687",2023-06-09,24191.339,93,"iona"
"688",2023-06-10,24258.086,93.3,"iona"
"689",2023-06-11,24317.37,93.5,"iona"
"690",2023-06-12,24389.748,93.8,"iona"
"691",2023-06-13,24409.574,93.9,"iona"
"692",2023-06-14,24431.464,94,"iona"
"693",2023-06-15,24436.856,94,"iona"
"694",2023-06-16,24498.17,94.2,"iona"
"695",2023-06-17,24528.849,94.3,"iona"
"696",2023-06-18,24509.361,94.3,"iona"
"697",2023-06-19,24293.44,93.4,"iona"
"698",2023-06-20,23929.482,92,"iona"
"699",2023-06-21,23562.759,90.6,"iona"
"700",2023-06-22,23369.026,89.9,"iona"
"701",2023-06-23,23258.142,89.5,"iona"
"702",2023-06-24,23328.458,89.7,"iona"
"703",2023-06-25,23349.828,89.8,"iona"
"704",2023-06-26,23279.884,89.5,"iona"
"705",2023-06-27,23133.139,89,"iona"
"706",2023-06-28,22852.014,87.9,"iona"
"707",2023-06-29,22661.3,87.2,"iona"
"708",2023-06-30,22556.843,86.8,"iona"
"709",2023-07-01,22518.23,86.6,"iona"
"710",2023-07-02,22423.132,86.2,"iona"
"711",2023-07-03,22186.156,85.3,"iona"
"712",2023-07-04,21998.534,84.6,"iona"
"713",2023-07-05,21984.395,84.6,"iona"
"714",2023-07-06,21973.841,84.5,"iona"
"715",2023-07-07,22034.604,84.7,"iona"
"716",2023-07-08,22083.381,84.9,"iona"
"717",2023-07-09,22186.517,85.3,"iona"
"718",2023-07-10,22244.781,85.6,"iona"
"719",2023-07-11,22321.654,85.9,"iona"
"720",2023-07-12,22370.958,86,"iona"
"721",2023-07-13,22356.41,86,"iona"
"722",2023-07-14,22373.937,86.1,"iona"
"723",2023-07-15,22417.342,86.2,"iona"
"724",2023-07-16,22349.915,86,"iona"
"725",2023-07-17,22215.074,85.4,"iona"
"726",2023-07-18,22022.478,84.7,"iona"
"727",2023-07-19,21750.906,83.7,"iona"
"728",2023-07-20,21438.348,82.5,"iona"
"729",2023-07-21,21220.631,81.6,"iona"
"730",2023-07-22,21153.941,81.4,"iona"
